"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Ben Coleman",NA,"6-3",300,86,NA,NA,NA,NA,"OT",2023,"arizona-state","Transfer",9
"Prince Dorbah",NA,"6-3",232,86,NA,NA,NA,NA,"Edge",2023,"arizona-state","Transfer",9
"Cam Skattebo",NA,"5-10",200,88,NA,NA,NA,NA,"RB",2023,"arizona-state","Transfer",6
"Aaron Frost",NA,"6-5",294,90,NA,NA,NA,NA,"OT",2023,"arizona-state","Transfer",1
"Melquan Stovall",NA,"5-9.5",180,87,NA,NA,NA,NA,"WR",2023,"arizona-state","Transfer",5
"Tristan Monday",NA,"6-4",276,86,NA,NA,NA,NA,"DL",2023,"arizona-state","Transfer",9
"Krew Jackson",NA,"6-5",204,86,NA,NA,NA,NA,"LB",2023,"arizona-state","Transfer",9
"DeCarlos Brooks",NA,"5-9",188,85,NA,NA,NA,NA,"RB",2023,"arizona-state","Transfer",7
"Jake Smith",NA,"6-0",200,85,NA,NA,NA,NA,"WR",2023,"arizona-state","Transfer",7
"Tate Romney",NA,"6-2",200,85,NA,NA,NA,NA,"OLB",2023,"arizona-state","Transfer",7
"Josh Carlson",NA,"6-0",185,79,NA,NA,NA,NA,"P",2023,"arizona-state","Transfer",2
"Jacob Conover",NA,"6-1",205,86,NA,NA,NA,NA,"QB",2023,"arizona-state","Transfer",9
"Jason Brown","O'Dea (Seattle, WA)","5-7.5",194,91,NA,16,5,"WA","RB",2024,"arizona-state","Commit",1
"Jayden Fortier","Tualatin (Tualatin, OR)","6-5",220,90,NA,22,1,"OR","TE",2024,"arizona-state","Commit",3
"Terrell Kim","North Medford (Medford, OR)","6-3.5",340,89,NA,35,3,"OR","IOL",2024,"arizona-state","Commit",3
"Rodney Bimage Jr.","Dickinson (Dickinson, TX)","6-0",170,88,NA,56,103,"TX","CB",2024,"arizona-state","Commit",8
"Chris Johnson II","Aledo (Aledo, TX)","6-1",180,88,NA,58,104,"TX","CB",2024,"arizona-state","Commit",8
"Zechariah Sample","Katy Jordan (Fulshear, TX)","5-9",160,88,NA,112,111,"TX","ATH",2024,"arizona-state","Commit",8
"Albert Smith III","Ponchatoula (Ponchatoula, LA)","6-0.5",210,87,NA,82,24,"LA","LB",2024,"arizona-state","Commit",12
"Ramar Williams","Eastmark (Mesa, AZ)","6-3",250,87,NA,106,18,"AZ","DL",2024,"arizona-state","Commit",12
"Kyan McDonald","O'Dea (Seattle, WA)","6-0",175,87,NA,100,16,"WA","S",2024,"arizona-state","Commit",12
"Semisi Tonga","West (Salt Lake City, UT)","6-4",310,87,NA,84,14,"UT","IOL",2024,"arizona-state","Commit",12
"Champ Westbrooks","Loyola (Los Angeles, CA)","6-3.5",248,87,NA,88,81,"CA","IOL",2024,"arizona-state","Commit",12
"Salesi Manu","Bishop Manogue (Reno, NV)","6-3",240,87,NA,69,5,"NV","Edge",2024,"arizona-state","Commit",12
"Martell Hughes","Madison (San Diego, CA)","6-2",180,86,NA,128,93,"CA","S",2024,"arizona-state","Commit",7
